,title,elo,genre,year,W,L
317,Ghostbusters,200,Comedy/Fantasy,1984,2,0
423,The Big Sick,200,Comedy/Romance/Drama,2017,2,0
0,The Princess Diaries 2: Royal Engagement,171,Romance/Family/Drama/Comedy,2004,2,0
82,21 Jump Street,171,Crime/Action/Comedy,2012,2,0
125,Winter Light,171,Drama,1963,2,0
419,The Santa Clause,171,Family/Comedy/Fantasy/Drama,1994,2,0
149,Pee-wee's Big Adventure,171,Adventure/Family/Comedy,1985,2,0
75,Superbad,171,Comedy,2007,2,0
176,The Muppet Christmas Carol,171,Drama/Family/Comedy/Music/Fantasy,1992,2,0
187,Dinner for Schmucks,171,Comedy,2010,2,0
337,Monty Python and the Holy Grail,171,Fantasy/Comedy/Adventure,1975,2,0
474,The Year Without a Santa Claus,171,Family/TV Movie/Fantasy/Animation,1974,2,0
67,Miss Congeniality,148,Crime/Comedy/Action,2000,2,0
463,The Lord of the Rings: The War of the Rohirrim,148,Animation/Fantasy/Adventure/Action,2024,2,0
231,Little Miss Sunshine,128,Drama/Comedy,2006,1,0
507,The Incredible Mr. Limpet,128,Fantasy/Comedy/Family/War/Animation,1964,1,0
28,Hidden Figures,120,Drama/History,2016,1,0
47,The Favourite,100,Drama/Comedy/History,2018,1,0
69,Baby Driver,100,Crime/Action,2017,1,0
85,Bo Burnham: Make Happy,100,Comedy/Music,2016,1,0
96,Mike Birbiglia: The New One,100,Comedy,2019,1,0
109,Trevor Noah: Son of Patricia,100,Comedy/TV Movie,2018,1,0
128,"I, Robot",100,Action/Science Fiction,2004,1,0
163,Stargate,100,Action/Adventure/Science Fiction,1994,1,0
179,KPop Demon Hunters,100,Fantasy/Comedy/Music/Animation,2025,1,0
203,Rain Man,100,Drama,1988,1,0
220,Bottoms,100,Comedy,2023,1,0
226,The Perks of Being a Wallflower,100,Drama,2012,1,0
229,The Matrix,100,Science Fiction/Action,1999,1,0
245,The Lord of the Rings: The Return of the King,100,Action/Fantasy/Adventure,2003,1,0
277,Ex Machina,100,Science Fiction/Drama,2015,1,0
311,Singin' in the Rain,100,Comedy/Romance,1952,1,0
319,She's the Man,100,Romance/Comedy,2006,1,0
328,Indiana Jones and the Last Crusade,100,Adventure/Action,1989,1,0
352,Chicago,100,Comedy/Crime/Drama,2002,2,1
372,Yesterday,100,Comedy/Fantasy/Romance/Music,2019,1,0
376,Chicken Run,100,Animation/Family/Comedy,2000,1,0
